district,supervisor,start_date,end_date,initially_appointed,notes
1,Jake McGoldrick,2001-01-08,2009-01-08,false,
1,Eric Mar,2009-01-08,2017-01-08,false,
1,Sandra Lee Fewer,2017-01-09,2021-01-08,false,
1,Connie Chan,2021-01-08,,false,
2,Gavin Newsom,2001-01-08,2004-01-08,false,resigned after election as mayor
2,Michela Alioto-Pier,2004-01-26,2011-01-08,true,appointed by Mayor Newsom; elected Nov 2004
2,Mark Farrell,2011-01-08,2018-01-23,false,resigned when appointed interim mayor
2,Catherine Stefani,2018-01-30,2024-12-02,true,appointed by Mayor Farrell; elected Nov 2018; resigned after election to State Assembly
2,Stephen Sherrill,2024-12-18,,true,appointed by Mayor Breed
3,Aaron Peskin,2001-01-08,2009-01-08,false,
3,David Chiu,2009-01-08,2014-12-01,false,resigned after election to State Assembly
3,Julie Christensen,2015-01-08,2015-12-08,true,appointed by Mayor Lee; lost Nov 2015 election to Peskin
3,Aaron Peskin,2015-12-08,2025-01-08,false,second tenure; won Nov 2015 election
3,Danny Sauter,2025-01-08,,false,
4,Leland Yee,2001-01-08,2002-11-29,false,resigned after election to State Assembly
4,Fiona Ma,2002-12-11,2006-12-05,false,won Nov 2002 election; seated early by appointment; resigned after election to State Assembly
4,Ed Jew,2006-12-05,2007-09-25,false,won Nov 2006 election; seated early by appointment; suspended Sep 2007; resigned Jan 2008
4,Carmen Chu,2007-09-25,2013-02-27,true,appointed by Mayor Newsom; elected 2008; resigned when appointed Assessor
4,Katy Tang,2013-02-27,2019-01-08,true,appointed by Mayor Lee; elected 2013
4,Gordon Mar,2019-01-08,2023-01-08,false,
4,Joel Engardio,2023-01-08,2025-10-07,false,recalled Sep 16 2025 (first SF supervisor recalled); removed when results certified Oct 7 2025
4,Beya Alcaraz,2025-11-06,2025-11-13,true,appointed by Mayor Lurie; resigned after one week
4,Alan Wong,2025-11-30,,true,appointed by Mayor Lurie; won Jun 2026 special election
5,Matt Gonzalez,2001-01-08,2005-01-08,false,
5,Ross Mirkarimi,2005-01-08,2012-01-07,false,resigned after election as Sheriff
5,Christina Olague,2012-01-09,2013-01-08,true,appointed by Mayor Lee; lost Nov 2012 election
5,London Breed,2013-01-08,2018-07-11,false,resigned after election as mayor
5,Vallie Brown,2018-07-16,2019-12-15,true,appointed by Mayor Breed; lost Nov 2019 special election
5,Dean Preston,2019-12-16,2025-01-08,false,
5,Bilal Mahmood,2025-01-08,,false,
6,Chris Daly,2001-01-08,2011-01-08,false,
6,Jane Kim,2011-01-08,2019-01-08,false,
6,Matt Haney,2019-01-08,2022-05-03,false,resigned after election to State Assembly
6,Matt Dorsey,2022-05-09,,true,appointed by Mayor Breed; elected Nov 2022
7,Tony Hall,2001-01-08,2004-08-05,false,resigned for Treasure Island Development Authority post
7,Sean Elsbernd,2004-08-05,2013-01-08,true,appointed by Mayor Newsom; elected Nov 2004
7,Norman Yee,2013-01-08,2021-01-08,false,
7,Myrna Melgar,2021-01-08,,false,
8,Mark Leno,2001-01-08,2002-11-29,false,resigned after election to State Assembly
8,Bevan Dufty,2002-12-11,2011-01-08,false,won Nov 2002 election; seated early by appointment
8,Scott Wiener,2011-01-08,2016-12-05,false,resigned after election to State Senate
8,Jeff Sheehy,2017-01-09,2018-07-11,true,appointed by Mayor Lee; lost Jun 2018 election
8,Rafael Mandelman,2018-07-11,,false,
9,Tom Ammiano,2001-01-08,2008-12-01,false,resigned after election to State Assembly
9,David Campos,2008-12-04,2017-01-08,false,won Nov 2008 election; seated early by appointment
9,Hillary Ronen,2017-01-09,2025-01-08,false,
9,Jackie Fielder,2025-01-08,,false,
10,Sophie Maxwell,2001-01-08,2011-01-08,false,
10,Malia Cohen,2011-01-08,2019-01-07,false,
10,Shamann Walton,2019-01-08,,false,
11,Gerardo Sandoval,2001-01-08,2009-01-08,false,
11,John Avalos,2009-01-08,2017-01-08,false,
11,Ahsha Safaí,2017-01-09,2025-01-08,false,
11,Chyanne Chen,2025-01-08,,false,
